Index,No,Description,Description_Images,Factory Suggestion,Factory_Suggestion_Images,STG Proposal,STG_Proposal_Images,Customer Decision,Customer_Decision_Images,EQ Status,Customer Name,Customer P/N,Factory P/N,Date,Base Material,Solder Mask,Via Plugging Type,Engineer Name,Panel Size,STG P/N,FileName,Previous Case,Closed Date
19,5,"SinglePCBdwg drawing is from previous version,and the location of the DMC area is different from gerber.",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_12.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_13.png,"We will ignore the DMC area in the single drawing and the DMC location follows gerber to do.
Please confirm.",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_12.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_13.png,,2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_12.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_13.png,"CML MN: confirmed
Deltec KS: confirmed",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_12.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_13.png,Closed,"Deltec, DE, Furth","35821922
35821921","JB2C707TA0
JB2C708TA0",2022-07-12 00:00:00," Dekai DK-C150,TG: 150 ºC,Anti-CAF",See Q1,,Kyle.Wang,,"02R012193.C00
02R012192.C00",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0).xlsx,True,2025-01-01
20,6,"The drawing requirements""mark only on bottom side"",but in gerber there are S/M opening on both sides.",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_9.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_10.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_11.png,"We suggest delete top side S/M opening.
Please confirm",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_9.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_10.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_11.png,,2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_9.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_10.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_11.png,"CML MN: follow gerber
DELTEC KS: follow gerber",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_9.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_10.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_11.png,Closed,"Deltec, DE, Furth","35821922
35821921","JB2C707TA0
JB2C708TA0",2022-07-12 00:00:00," Dekai DK-C150,TG: 150 ºC,Anti-CAF",See Q1,,Kyle.Wang,,"02R012193.C00
02R012192.C00",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0).xlsx,True,2025-01-01
21,7,"PN:35821922
The tolerances require of finish hole are different ",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_17.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_18.png,We suggest to follow PanelDrilldwg file to do(below pictuer),2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_17.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_18.png,,2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_17.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_18.png,"CML MN: confirmed
Deltec KS: confirmed",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_17.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_18.png,Closed,"Deltec, DE, Furth","35821922
35821921","JB2C707TA0
JB2C708TA0",2022-07-12 00:00:00," Dekai DK-C150,TG: 150 ºC,Anti-CAF",See Q1,,Kyle.Wang,,"02R012193.C00
02R012192.C00",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0).xlsx,True,2025-01-01
22,8,PTH/NPTH slots has no length tolerance.,2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_19.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_20.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_21.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_22.png,"We suggest the length tolerance follow +/-0.1mm
please confirm.",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_19.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_20.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_21.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_22.png,,2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_19.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_20.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_21.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_22.png,"CML MN: confirmed, follow DIN ISO 2768m for elngth tolerance
DELTEC KS: confirmed",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_19.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_20.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_21.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_22.png,Closed,"Deltec, DE, Furth","35821922
35821921","JB2C707TA0
JB2C708TA0",2022-07-12 00:00:00," Dekai DK-C150,TG: 150 ºC,Anti-CAF",See Q1,,Kyle.Wang,,"02R012193.C00
02R012192.C00",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0).xlsx,True,2025-01-01
23,9,"PN:35821921
As the picture show,hole tolerances are different",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_23.png,"We suggest making according to the hole chart in the panel drawing
Please confirm",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_23.png,,2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_23.png,DELTEC KS: confirmed,2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_23.png,Closed,"Deltec, DE, Furth","35821922
35821921","JB2C707TA0
JB2C708TA0",2022-07-12 00:00:00," Dekai DK-C150,TG: 150 ºC,Anti-CAF",See Q1,,Kyle.Wang,,"02R012193.C00
02R012192.C00",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0).xlsx,True,2025-01-01
24,10,"PN:35821921
As the picture show,there is a 0.5mm hole in the gerber,and there is no solder mask opening on the top",,"We suggest add solder mask opening same as other vias.
Please confirm",,,,CML MN: confirmed,,Closed,"Deltec, DE, Furth","35821922
35821921","JB2C707TA0
JB2C708TA0",2022-07-12 00:00:00," Dekai DK-C150,TG: 150 ºC,Anti-CAF",See Q1,,Kyle.Wang,,"02R012193.C00
02R012192.C00",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0).xlsx,True,2025-01-01
25,1,Not defined base material,2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_3.png,"We suggest use DK-C140,TG: 135 ºC
Please confirm",2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_3.png,,2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_3.png,CML MaG: confirmed,2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_3.png,Closed,"RaPa, DE, Selb",17604001,JA2C716LA0,2022-08-09 00:00:00,See Q1,See Q2,,Tina,,02R009655.A02,2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0).xlsx,True,2025-01-01
26,2,Not defined solder mask type,2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_7.png,"We suggest use YSR-900 G01 with glossy green
Please confirm",2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_7.png,,2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_7.png,CML MaG: acc CSI use Rongda H-9100 3G,2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_7.png,Closed,"RaPa, DE, Selb",17604001,JA2C716LA0,2022-08-09 00:00:00,See Q1,See Q2,,Tina,,02R009655.A02,2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0).xlsx,True,2025-01-01
27,3,About UL marks,2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_4.png,"We suggest  only adding our UL ""CML-G 7JD 兄 94V-0 E330796""  and datecode“YY/WW”  at bottom circuit layer(ignore other companies' marks).                                                                               
Please confirm",2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_4.png,,2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_4.png,CML MaG: confirmed,2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_4.png,Closed,"RaPa, DE, Selb",17604001,JA2C716LA0,2022-08-09 00:00:00,See Q1,See Q2,,Tina,,02R009655.A02,2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0).xlsx,True,2025-01-01
28,4,We have no control the weight,2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_5.png;2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_6.png;2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_8.png,"We suggest ignore weight.
Please confirm",2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_5.png;2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_6.png;2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_8.png,,2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_5.png;2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_6.png;2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_8.png,CML MaG: confirmed,2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_5.png;2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_6.png;2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0)_image_8.png,Closed,"RaPa, DE, Selb",17604001,JA2C716LA0,2022-08-09 00:00:00,See Q1,See Q2,,Tina,,02R009655.A02,2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0).xlsx,True,2025-01-01
29,5,"There is nothing in the DXF provided by the customer,It's also unreadable",,"We suggest ignore DXF,We'll follow the original gerber and the working gerber.
Please confirm",,,,CML MaG: follow gerber and PDF drawing,,Closed,"RaPa, DE, Selb",17604001,JA2C716LA0,2022-08-09 00:00:00,See Q1,See Q2,,Tina,,02R009655.A02,2- aw CML to scML_20220829130230_aw EQ for 17604001(JA2C716LA0).xlsx,True,2025-01-01
30,1,"350643-00:For base material type











350644-00:About base maerial,the requirements for Tg values are not the same",2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_2.png,"350643-00:Suggest to use S1000-2M,TG: >170 ºC,CTI: PLC 3 (>=175 V) material.
Please confirm









350644-00:Suggest to use S1000H,TG: 150 ºC,CTI: PLC 3 (>=175 V) material.
Please confirm",2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_2.png,,2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_2.png,"Theben RMI: confirmed to use S1000-2M for PCB 350643-00










Theben RMI:confirmed to use S1000H for PCB 350644-00",2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_2.png,Closed,"Theben, DE, Haigerloch","350643-00
350644-00","JP2C444LA0
JP2C445LA0",2022-09-02 00:00:00,See Q1,See Q2,,,,"02R015591.A00
02R015592.A00",2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI.xlsx,True,2025-01-01
31,2,customer don't indicate soldermask type.,,"Suggest to use YSR-900 G01 with glossy green.
Please confirm",,,,"STG MN: confirmed
Theben RMI: confirmed",,Closed,"Theben, DE, Haigerloch","350643-00
350644-00","JP2C444LA0
JP2C445LA0",2022-09-02 00:00:00,See Q1,See Q2,,,,"02R015591.A00
02R015592.A00",2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI.xlsx,True,2025-01-01
32,3,About UL,2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_3.png;2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_4.png,"We'll place our UL(ST-G 7JD 兄  94V-0 ) ,date code YYWW and  CTI>175 on top S/M layer(Since September 2nd, our company name has changed, so UL uses ST-G).
Please confirm",2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_3.png;2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_4.png,,2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_3.png;2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_4.png,"STG MN: confirmed
Theben RMI: confirmed",2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_3.png;2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_4.png,Closed,"Theben, DE, Haigerloch","350643-00
350644-00","JP2C444LA0
JP2C445LA0",2022-09-02 00:00:00,See Q1,See Q2,,,,"02R015591.A00
02R015592.A00",2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI.xlsx,True,2025-01-01
33,4,"About copper thickness,we con't fulfill the 70um for 35um base copper thickness.",2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_5.png,"We have two suggestions:
A:We suggest using base copper thickness 35um to do , finished copper thickness of the outer layer is 52.9um min

B:Ignore base copper 35um,just control the final copper thickness 70um min

Please choose A or B",2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_5.png,,2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_5.png,"STG MN: confirmed B
Theben RMI: Follow B",2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_5.png,Closed,"Theben, DE, Haigerloch","350643-00
350644-00","JP2C444LA0
JP2C445LA0",2022-09-02 00:00:00,See Q1,See Q2,,,,"02R015591.A00
02R015592.A00",2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI.xlsx,True,2025-01-01
34,5,"The notes in the drawing are not in English,we believe that this tolerance is the dimension tolerance without marking",2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_6.png,Please confirm,2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_6.png,,2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_6.png,"STG MN: confirmed, dimenions without tolerance on drawing follow +/-0.15mm
Theben RMI: confirmed",2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_6.png,Closed,"Theben, DE, Haigerloch","350643-00
350644-00","JP2C444LA0
JP2C445LA0",2022-09-02 00:00:00,See Q1,See Q2,,,,"02R015591.A00
02R015592.A00",2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI.xlsx,True,2025-01-01
35,6,The unit board size is too small (47*22mm). It will bring the difficulty during the process,2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_7.png,"We suggest make a panel to produce and ship the pcb with the panel,please kindly accept to deliver panel board(use connection bits to connect,the number, location, and size of the connection bits are up to us),see attachment panel drawing 
Please confirm",2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_7.png,,2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_7.png,"STG MN: not confirmed, delivery has to be as single pcb
Theben RMI: not confirmed. We need the PCBs as single PCBs.
",2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI_image_7.png,Closed,"Theben, DE, Haigerloch","350643-00
350644-00","JP2C444LA0
JP2C445LA0",2022-09-02 00:00:00,See Q1,See Q2,,,,"02R015591.A00
02R015592.A00",2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI.xlsx,True,2025-01-01
36,7,The customer does not prepare a bad mark location.,,"We suggst the bad PCBs in a panel only marked X with a black marker on both sides
Please confirm",,,,"STG MN: see Q7
Theben RMI: confirmed",,Closed,"Theben, DE, Haigerloch","350643-00
350644-00","JP2C444LA0
JP2C445LA0",2022-09-02 00:00:00,See Q1,See Q2,,,,"02R015591.A00
02R015592.A00",2- EQs CML to JST_20220907132342_EQ for 350643-00 & 350644-00（JP2C444LA0 & JP2C445LA0)_RMI.xlsx,True,2025-01-01
37,1,The solder mask colour is different between the CML PO and cutomer PCB spec,2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_6.png,"We suggest to follow CML PO, use YeYo YSR-900 MBK01 black matt to do.

Please confirm.",2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_6.png,,2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_6.png,"CML MN: confirmed
Deltec KS: confirmed",2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_6.png,Closed,"Deltec, DE, Furth","35821922
35821921","JB2C707TA0
JB2C708TA0",2022-07-12 00:00:00," Dekai DK-C150,TG: 150 ºC,Anti-CAF",See Q1,,Kyle.Wang,,"02R012193.C00
02R012192.C00",2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0).xlsx,True,2025-01-01
38,2,"The pattern no. in the gerber are designed at the S/M top layer, it should be abnormal.",2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_4.png;2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_5.png;2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_7.png,"we suggest moving to the S/M bot layer.
Please confirm.",2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_4.png;2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_5.png;2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_7.png,,2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_4.png;2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_5.png;2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_7.png,"CML MN: confirmed
Deltec KS: confirmed",2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_4.png;2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_5.png;2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_7.png,Closed,"Deltec, DE, Furth","35821922
35821921","JB2C707TA0
JB2C708TA0",2022-07-12 00:00:00," Dekai DK-C150,TG: 150 ºC,Anti-CAF",See Q1,,Kyle.Wang,,"02R012193.C00
02R012192.C00",2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0).xlsx,True,2025-01-01
39,3,"About the UL marking,copper pad is added to the circuit layer of the original manuscript at the specified location.",2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_8.png,"We suggest delete copper pad and add UL mark.
Please confirm.








",2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_8.png,,2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_8.png,"CML MN: confirmed
Deltec KS: confirmed",2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_8.png,Closed,"Deltec, DE, Furth","35821922
35821921","JB2C707TA0
JB2C708TA0",2022-07-12 00:00:00," Dekai DK-C150,TG: 150 ºC,Anti-CAF",See Q1,,Kyle.Wang,,"02R012193.C00
02R012192.C00",2- EQs CML to JST_20220719092311_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0).xlsx,True,2025-01-01
